🚀 NovelGen Web UI is running at http://localhost:8080
[GIN] 2026/06/02 - 22:48:34 | 200 |     27.2037ms |       127.0.0.1 | GET      "/api/projects"
[GIN] 2026/06/02 - 22:48:35 | 304 |     25.7627ms |             ::1 | GET      "/"
[GIN] 2026/06/02 - 22:48:35 | 304 |      8.3865ms |             ::1 | GET      "/assets/index-4vaSns1I.css"
[GIN] 2026/06/02 - 22:48:35 | 304 |     73.0652ms |             ::1 | GET      "/assets/index--FtVrLNQ.js"
[GIN] 2026/06/02 - 22:48:35 | 200 |            0s |             ::1 | GET      "/api/tasks"
[GIN] 2026/06/02 - 22:48:35 | 200 |      1.0257ms |             ::1 | GET      "/api/projects"
[GIN] 2026/06/02 - 22:48:35 | 200 |       505.6µs |             ::1 | GET      "/api/projects"
[GIN] 2026/06/02 - 22:48:35 | 304 |       862.5µs |             ::1 | GET      "/vite.svg"
[GIN] 2026/06/02 - 22:48:35 | 200 |      7.7582ms |             ::1 | GET      "/api/content/items?project=..%5Cbooks%5Cmine"
[GIN] 2026/06/02 - 22:48:35 | 200 |      8.9653ms |             ::1 | GET      "/api/content/characters?project=..%5Cbooks%5Cmine"
[GIN] 2026/06/02 - 22:48:35 | 200 |     14.2934ms |             ::1 | GET      "/api/content/locations?project=..%5Cbooks%5Cmine"
[GIN] 2026/06/02 - 22:48:35 | 200 |     23.1641ms |             ::1 | GET      "/api/content/outline?project=..%5Cbooks%5Cmine"
[GIN] 2026/06/02 - 22:48:46 | 404 |      9.6441ms |             ::1 | GET      "/api/content/characters?project=..%5Cbooks%5Csystem-log"
[GIN] 2026/06/02 - 22:48:46 | 404 |      9.6441ms |             ::1 | GET      "/api/content/items?project=..%5Cbooks%5Csystem-log"
[GIN] 2026/06/02 - 22:48:46 | 404 |      9.6441ms |             ::1 | GET      "/api/content/locations?project=..%5Cbooks%5Csystem-log"
[GIN] 2026/06/02 - 22:48:46 | 200 |     31.4423ms |             ::1 | GET      "/api/content/outline?project=..%5Cbooks%5Csystem-log"
[GIN] 2026/06/02 - 22:48:48 | 200 |     13.8066ms |             ::1 | GET      "/api/content/outline?project=..%5Cbooks%5Csystem-log"
[GIN] 2026/06/02 - 22:54:23 | 200 |     63.2371ms |             ::1 | POST     "/api/files/story/compose/outline.json?project=..%5Cbooks%5Csystem-log"
[GIN] 2026/06/02 - 22:55:31 | 200 |            0s |             ::1 | POST     "/api/tasks"
[GIN] 2026/06/02 - 22:55:31 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
